Pain and Gain,26/07/2015,2,Comedy,Michael Bay,http://www.imdb.com/title/tt1980209/
Cry Baby: The Pedal that Rocks the World,28/07/2015,2,Documentary,"Max Baloian, Joey Tosi",http://www.imdb.com/title/tt1843884/
The Eichmann Show,29/07/2015,3,Drama,Paul Andrew Williams,http://www.imdb.com/title/tt4163668/
Star Wars: Episode V - The Empire Strikes Back,5/8/2015,4,Action,Irvin Kershner,http://www.imdb.com/title/tt0080684/
Paddington, 08/08/2015,3,Comedy, Paul King, http://www.imdb.com/title/tt1109624/
Man of Steel,14/08/2015,3,Action,Zack Snyder,http://www.imdb.com/title/tt0770828/
The Aviator, 17/08/2015,3,Biography,Martin Scorsese,http://www.imdb.com/title/tt0338751/
The Heart of Bruno Wizard,21/08/2015,3,Documentary,Elisabeth Rasmussen,http://www.imdb.com/title/tt4011090/
How to Sell a Banksy,21/08/2015,2,Documentary,"Christopher Thompson, Alper Cagatay",http://www.imdb.com/title/tt1865403/
Spike Island, 28/08/2015,2,Drama,Mat Whitecross,http://www.imdb.com/title/tt1827579/
